Regd,sem1_attended,sem1_total,sgpa1,sem2_attended,sem2_total,sgpa2
2024000139,405,414,8.05,379,477,7.45
2024000238,319,419,4.55,338,475,6.95
2024000276,299,405,3.25,353,469,5.55
2024000783,27,271,0,302,421,4.23
2024000818,402,409,7.85,458,471,8.36
2024000886,400,409,7.9,453,471,7.55
2024001024,358,419,6.8,379,474,6.82
2024001033,336,419,5.3,354,475,5.23
2024001052,287,390,5.15,385,471,8
2024001297,219,241,8,393,477,7.73
2024001540,341,410,6.39,371,452,1.63
2024001562,325,404,7.65,320,475,6.36
2024001567,189,211,5.4,375,469,5.95
2024001747,354,398,5.9,431,471,7.82
2024001839,341,428,7.06,354,463,4.13
2024001925,366,414,7.4,428,473,7.59
2024002301,314,392,7.15,373,476,7.77
2024002621,299,390,4.1,370,471,6.14
2024002971,327,428,7.28,367,457,5.63
2024003089,326,408,7.5,344,455,3.75
2024003108,339,377,8.5,357,461,6.96
2024003402,367,400,8.75,423,473,9.55
2024003454,358,424,4.75,442,471,7.18
2024003512,320,390,6.45,382,471,6.91
2024003527,307,389,7,373,471,7.86
2024003868,385,431,9.56,423,454,9.71
2024003892,383,435,7.33,400,463,7.33
2024003973,268,285,8.8,428,469,9.68
2024003981,320,407,7.78,363,462,7.63
2024004000,352,394,7.9,449,471,8.14
2024004044,337,399,8,396,460,7.29
2024004052,282,371,5.33,373,464,3.42
2024004257,377,397,7.95,459,471,8.23
2024004444,358,392,5.85,422,471,5.59
2024004459,285,322,8.5,420,478,8.77
2024004464,319,397,9.9,370,474,8.73
2024004469,266,361,7.17,341,450,7.25
2024004533,294,380,7.94,275,307,7.88
2024004618,348,394,7.15,401,471,7.55
2024004633,327,405,7.4,384,472,7.55
2024004787,396,431,7.33,403,463,7.42
2024004846,318,418,6.75,364,471,7.09
2024004968,422,439,8.78,410,452,8.88
2024005142,371,398,7.6,435,476,7.64
2024005249,360,398,7.96,412,471,7.36
2024005374,355,427,6.94,378,465,5.5
2024005647,306,398,7.7,412,470,7.82
2024005689,365,398,5.75,411,471,7.55
2024005699,322,397,6.75,366,477,4.5
2024005793,336,410,4.5,366,463,5.13
2024006139,394,438,7.61,417,458,8.42
2024006180,370,404,7.72,400,460,7.67
2024006260,306,405,4.4,353,473,4.73
2024006277,365,423,9.65,372,471,9.91
2024006342,383,419,8.15,418,471,7.82
2024006347,319,399,9.15,372,469,9.23
2024006430,351,407,7.89,372,460,7.63
2024006433,381,407,7.78,398,459,4.67
2024006680,259,342,4.55,335,475,4.05
2024006904,355,417,8.83,383,462,9.04
2024006969,326,395,5.3,403,471,6.18
2024007249,264,281,5.3,416,477,6.73
2024007382,319,413,7.3,386,471,8.77
2024007423,240,329,3.2,288,471,3.14
2024007430,425,431,7.33,435,461,7.33
2024007491,324,398,6.6,406,471,7.36
2024007524,366,407,9.5,392,457,8.42
2024007928,336,418,5.28,347,463,2.25
2024007973,316,420,4.65,374,471,5.86
2024008042,295,395,4.9,375,479,3.73
2024008465,359,417,8.83,363,455,7.29
2024008492,334,428,2.89,348,460,4.88
2024008703,287,344,8.28,361,455,8.17
2024008788,276,314,8.55,426,471,8.77
2024008921,366,413,7.94,384,457,7.46
2024009041,349,403,7.44,376,455,5.67
2024009103,311,394,5.3,406,477,4.91
2024009333,331,425,6.61,357,464,7.25
2024009436,308,390,7.55,359,471,8.91
2024009531,325,402,5.61,367,455,5.25
2024009637,261,288,9.75,387,475,9.86
2024010016,391,425,8.61,433,465,8.58
2024010099,330,399,7.56,348,459,4.25
2024010154,257,280,5.85,430,471,5.86
2024010159,358,423,8.22,370,459,7.63
2024010450,372,404,4.78,364,457,3
2024010662,340,431,7.33,353,459,5.67
2024010701,371,393,7.95,428,482,7.5
2024010853,336,425,7.1,400,478,7.5
2024010873,344,390,5.45,428,471,7
2024010879,375,398,4.35,451,471,7.35
2024010909,361,409,7.33,363,450,6.79
2024010975,252,314,5.1,381,473,4.91
2024011032,347,393,6.75,415,478,7.18
2024011141,319,403,5.5,330,452,4.29
2024011151,343,394,8.1,387,471,9.41
2024011184,377,399,5.75,435,471,7.59
2024011202,365,426,6.3,395,481,8.82
2024011310,301,396,6.95,367,469,7.18
2024011404,355,395,8.75,413,476,8.82
2024011509,307,395,6.2,378,481,5.95
2024011705,392,424,7.75,441,477,7.82
2024011770,318,393,7.75,383,472,7.73
2024012253,229,437,3.22,356,463,1.13
2024012310,320,393,9.18,384,471,8.68
2024012345,321,395,6.9,385,474,7.32
2024012479,217,299,4.5,360,469,4.59
2024012658,266,287,7.5,439,471,8.27
2024012893,254,311,8.95,391,477,7.5
2024013032,366,405,8.89,420,461,8.88
2024013090,343,410,7.22,384,452,5.13
2024013309,318,410,4.25,396,483,5.18
2024013447,348,384,4.45,415,471,6.14
2024013488,372,412,9.15,427,474,9.14
2024013614,322,424,4.95,369,471,7.18
2024013649,385,428,7.67,403,460,6.71
2024013839,317,417,3.67,347,455,5.04
2024014020,341,427,6.56,350,461,4.58
2024014507,349,412,7.28,375,454,6.88
2024014516,286,380,7.89,349,460,7.33
2024014559,339,414,8,386,469,8.77
2024014587,330,408,6.56,350,457,6.42
2024014623,373,417,8,420,461,7.21
2024014726,363,407,8.61,418,454,8.79
2024014796,338,401,8,415,461,8.67
2024014860,325,396,5,361,477,6.5
2024015541,333,405,7.78,381,459,7.88
2024015576,378,427,9.28,404,452,9.38
2024016097,373,414,6.75,405,477,7.82
2024016151,357,423,6.11,386,460,6.92
2024016372,252,326,4.95,359,469,6.41
2024017285,358,414,8,388,454,7.5
2024017349,334,398,5.25,404,469,5.91
2024017564,380,408,9.5,409,461,8.67
2024017603,352,425,4.35,373,471,7.23
2024017691,382,408,6.89,402,461,6.92
2024018014,382,416,9.28,407,455,9.04
2024018469,383,399,9.3,459,479,9.91
2024018674,395,433,6.67,413,459,4.96
2024018807,378,431,8.5,417,454,7.5
2024019107,389,429,8.44,409,454,8.13
2024019184,351,387,7.6,455,476,8.09
2024019239,387,432,8.39,430,465,8.54
2024019335,355,416,5.9,401,479,7.09
2024019437,320,403,7.72,368,459,5.83
2024019595,347,390,5.7,439,471,7.86
2024019616,426,439,8.89,418,459,8.46
2024021366,313,399,5.72,354,458,4.13
2024021656,320,394,5.1,380,479,7.41
2024021709,345,394,6.67,362,461,3.88
2024021828,300,389,3.85,356,471,4.91
2024021897,339,400,8,389,461,7.54
2024021939,335,418,7.4,360,469,7.18
2024021948,360,406,6.2,429,478,6.05
2024021978,348,424,7.67,387,457,7.13
2024021997,354,396,9,427,475,8.18
2024024039,330,414,7.56,363,454,7.08
2024024236,221,250,8.1,411,482,8.45
2024024718,305,440,6.17,339,457,6.58
2024024797,355,408,5.65,408,476,6.36
2024024848,384,417,6.2,414,469,7.64
2024024973,352,410,6.83,399,465,6.5
2024024975,333,426,7.56,390,458,7.63
2024025147,330,413,7.05,382,477,6.86
2024025568,350,407,7.33,361,464,6.96
2024025582,398,437,7.89,411,459,5.29
2024025871,234,294,3.85,398,471,5.68
2024025876,388,408,8.17,402,461,6.92
2024025992,367,394,8.7,428,478,9.5
2024026493,362,395,9.3,421,471,9.77
2024026976,360,392,6.4,407,471,5.32
2024027004,347,408,7.28,391,459,7.25
2024027671,357,390,7.8,434,471,7.18
2024027878,305,399,6.61,340,457,5.5
2024027920,349,387,8.9,379,471,7.91
2024028129,388,418,8.72,454,463,9.13
2024028293,311,388,5.95,404,477,6.68
2024028406,333,401,6.28,369,452,6.92
2024028647,329,427,7.33,351,463,7.25
2024028664,341,388,7.05,426,471,5.68
2024028694,332,408,8.17,359,457,6.79
2024028865,327,411,7.3,362,471,7.36
2024028875,408,439,7.89,375,460,8.54
2024028942,333,378,7.22,382,457,3.71
2024028989,359,403,7.39,376,462,4.92
2024029241,303,394,7.4,344,474,6.86
2024029254,326,359,7.11,397,463,6.96
2024029338,353,435,8.39,348,459,7.79
2024029568,329,410,7.78,380,457,7.58
2024029798,321,404,7.22,388,460,7.63
2024029840,358,399,9.33,429,465,9.38
2024029906,240,396,1.9,358,471,5.18
2024030275,339,374,5.89,385,464,7.54
2024030479,329,405,7.22,368,455,6.08
2024030672,335,425,6.5,349,455,7.79
2024031076,394,431,8.72,367,461,7.67
2024031102,362,399,8.95,424,476,7.91
2024031130,323,414,7.35,373,478,6.36
2024031624,325,396,7,442,476,7.64
2024031656,303,404,7.78,374,463,7.46
